date,page
1983,252.0
1984,364.0
1985,873.0
1986,1588.0
1987,1199.0
1988,982.0
1989,574.0
1990,2527.0
1991,2051.0
1992,1787.0
1993,537.0
1995,2341.0
1996,2666.0
1997,3872.0
1998,362.0
1999,1128.0
2000,344.0
2001,3280.0
2002,334.0
